character,Cantonese,Mandarin,Initial_Cantonese,Rhyme_Cantonese,Tone_Cantonese,Initial_Mandarin,Rhyme_Mandarin,Tone_Mandarin
消,siu1,xiao1,s,iu,1,x,iao,1
越,jyut6,yue4,j,üt,6,y,üe,4
器,hei3,qi4,h,ei,3,q,i,4
容,jung4,rong2,j,ung,4,r,ong,2
照,ziu3,zhao4,z,iu,3,zh,ao,4
须,sou1,xu1,s,ou,1,x,ü,1
九,gau2,jiu3,g,au,2,j,iu,3
增,zang1,zeng1,z,ang,1,z,eng,1
研,jin4,yan2,j,in,4,y,än,2
写,se2,xie3,s,e,2,x,ie,3
称,cang3,cheng1,c,ang,3,ch,eng,1
企,kei5,qi3,k,ei,5,q,i,3
八,baat3,ba1,b,aat,3,b,a,1
功,gung1,gong1,g,ung,1,g,ong,1
吗,maa3,ma5,m,aa,3,m,a,5
包,baau1,bao1,b,aau,1,b,ao,1
片,pin2,pian4,p,in,2,p,ian,4
史,si2,shi3,s,i,2,sh,i,3
委,wai1,wei3,w,ai,1,w,ei,3
乎,fu4,hu1,f,u,4,h,u,1
查,caa4,cha2,c,aa,4,ch,a,2
轻,hing1,qing1,h,ing,1,q,ing,1
易,jik6,yi4,j,ik,6,y,i,4
早,zou2,zao3,z,ou,2,z,ao,3
曾,zang1,ceng2,z,ang,1,c,eng,2
除,ceoi4,chu2,c,eoi,4,ch,u,2
农,nung4,nong2,n,ung,4,n,ong,2
找,zaau2,zhao3,z,aau,2,zh,ao,3
装,zong1,zhuang1,z,ong,1,zh,uang,1
广,gwong2,guang3,gw,ong,2,g,uang,3
显,hin2,xian3,h,in,2,x,iän,3
吧,baa6,ba5,b,aa,6,b,a,5
阿,aa3,a1, ,aa,3, ,a,1
李,lei5,li3,l,ei,5,l,i,3
标,biu1,biao1,b,iu,1,b,iao,1
谈,taam4,tan2,t,aam,4,t,an,2
吃,hek3,chi1,h,ek,3,ch,i,1
图,tou4,tu2,t,ou,4,t,u,2
念,nim6,nian4,n,im,6,n,ian,4
六,luk6,liu4,l,uk,6,l,iu,4
引,jan5,yin3,j,an,5,y,in,3
历,lik6,li4,l,ik,6,l,i,4
首,sau2,shou3,s,au,2,sh,ou,3
医,ji1,yi4,j,i,1,y,i,4
局,guk6,ju2,g,uk,6,j,ü,2
突,dat6,tu1,d,at,6,t,u,1
专,zyun1,zhuan1,z,ün,1,zh,uan,1
费,fai3,fei4,f,ai,3,f,ei,4
号,hou4,hao4,h,ou,4,h,ao,4
尽,zeon2,jin3,z,eon,2,j,in,3
另,ling6,ling4,l,ing,6,l,ing,4
周,zau1,zhou1,z,au,1,zh,ou,1
较,gaau3,jiao4,g,aau,3,j,iao,4
注,zyu3,zhu4,z,ü,3,zh,u,4
语,jyu6,yu3,j,ü,6,y,ü,3
仅,gan2,jin3,g,an,2,j,in,3
考,haau2,kao3,h,aau,2,k,ao,3
落,lok6,luo4,l,ok,6,l,uo,4
青,ceng1,qing1,c,eng,1,q,ing,1
随,ceoi4,sui2,c,eoi,4,s,ui,2
选,syun2,xuan3,s,ün,2,x,üän,3
列,lit6,lie4,l,it,6,l,ie,4
武,mou5,wu3,m,ou,5,w,u,3
红,hung4,hong2,h,ung,4,h,ong,2
响,hoeng2,xiang3,h,oeng,2,x,iang,3
虽,seoi1,sui1,s,eoi,1,s,ui,1
推,teoi1,tui1,t,eoi,1,t,ui,1
势,sai3,shi4,s,ai,3,sh,i,4
参,cam1,can1,c,am,1,c,an,1
希,hei1,xi1,h,ei,1,x,i,1
古,gu2,gu3,g,u,2,g,u,3
众,zung3,zhong4,z,ung,3,zh,ong,4
构,gau3,gou1,g,au,3,g,ou,1
房,fong4,fang2,f,ong,4,f,ang,2
半,bun3,ban4,b,un,3,b,an,4
节,zit3,jie2,z,it,3,j,ie,2
土,tou2,tu3,t,ou,2,t,u,3
投,tau4,tou2,t,au,4,t,ou,2
某,mau5,mou3,m,au,5,m,ou,3
案,on3,an4, ,on,3, ,an,4
黑,hak1,hei1,h,ak,1,h,ei,1
维,wai4,wei2,w,ai,4,w,ei,2
革,gaak3,ge2,g,aak,3,g,e,2
划,waa1,hua2,w,aa,1,h,ua,2
敌,dik6,di2,d,ik,6,d,i,2
致,zi3,zhi4,z,i,3,zh,i,4
陈,can4,chen2,c,an,4,ch,en,2
律,leot6,lv4,l,eot,6,l,ü,4
足,zuk1,zu2,z,uk,1,z,u,2
态,taai3,tai4,t,aai,3,t,ai,4
护,wu6,hu4,w,u,6,h,u,4
七,cat1,qi1,c,at,1,q,i,1
兴,hing1,xing1,h,ing,1,x,ing,1
派,paai3,pai4,p,aai,3,p,ai,4
孩,haai4,hai2,h,aai,4,h,ai,2
验,jim6,yan4,j,im,6,y,än,4
责,zaak3,ze2,z,aak,3,z,e,2
营,jing4,ying2,j,ing,4,y,ing,2
星,sing1,xing1,s,ing,1,x,ing,1
够,gau3,gou4,g,au,3,g,ou,4
章,zoeng1,zhang1,z,oeng,1,zh,ang,1
音,jam1,yin1,j,am,1,y,in,1
跟,gan1,gen1,g,an,1,g,en,1
志,zi3,zhi4,z,i,3,zh,i,4
底,dai2,di3,d,ai,2,d,i,3
站,zaam6,zhan4,z,aam,6,zh,an,4
严,jim4,yan2,j,im,4,y,än,2
巴,baa1,ba1,b,aa,1,b,a,1
例,lai6,li4,l,ai,6,l,i,4
防,fong4,fang2,f,ong,4,f,ang,2
族,zuk6,zu2,z,uk,6,z,u,2
供,gung1,gong1,g,ung,1,g,ong,1
效,haau6,xiao4,h,aau,6,x,iao,4
续,zuk6,xu4,z,uk,6,x,ü,4
施,si1,shi1,s,i,1,sh,i,1
留,lau4,liu2,l,au,4,l,iu,2
讲,gong2,jiang3,g,ong,2,j,iang,3
型,jing4,xing2,j,ing,4,x,ing,2
料,liu6,liao4,l,iu,6,l,iao,4
终,zung1,zhong1,z,ung,1,zh,ong,1
答,daap3,da2,d,aap,3,d,a,2
紧,gan2,jin3,g,an,2,j,in,3
黄,wong4,huang2,w,ong,4,h,uang,2
绝,zyut6,jue2,z,üt,6,j,üe,2
奇,kei4,qi2,k,ei,4,q,i,2
察,caat3,cha2,c,aat,3,ch,a,2
母,mou5,mu3,m,ou,5,m,u,3
京,ging1,jing1,g,ing,1,j,ing,1
段,dyun6,duan4,d,ün,6,d,uan,4
依,ji1,yi1,j,i,1,y,i,1
批,pai1,pi1,p,ai,1,p,i,1
群,kwan4,qun2,kw,an,4,q,ün,2
项,hong6,xiang4,h,ong,6,x,iang,4
故,gu3,gu4,g,u,3,g,u,4
按,on3,an4, ,on,3, ,an,4
河,ho4,he2,h,o,4,h,e,2
米,mai5,mi3,m,ai,5,m,i,3
围,wai4,wei2,w,ai,4,w,ei,2
江,gong1,jiang1,g,ong,1,j,iang,1
织,zik1,zhi1,z,ik,1,zh,i,1
害,hoi6,hai4,h,oi,6,h,ai,4
斗,dau2,dou3,d,au,2,d,ou,3
双,soeng1,shuang1,s,oeng,1,sh,uang,1
境,ging2,jing4,g,ing,2,j,ing,4
客,haak3,ke4,h,aak,3,k,e,4
纪,gei3,ji4,g,ei,3,j,i,4
采,coi2,cai3,c,oi,2,c,ai,3
举,geoi2,ju3,g,eoi,2,j,ü,3
杀,saat3,sha1,s,aat,3,sh,a,1
攻,gung1,gong1,g,ung,1,g,ong,1
父,fu6,fu4,f,u,6,f,u,4
苏,sou1,su1,s,ou,1,s,u,1
密,mat6,mi4,m,at,6,m,i,4
低,dai1,di1,d,ai,1,d,i,1
朝,ciu4,zhao1,c,iu,4,zh,ao,1
友,jau5,you3,j,au,5,y,ou,3
诉,sou3,su4,s,ou,3,s,u,4
止,zi2,zhi3,z,i,2,zh,i,3
细,sai3,xi4,s,ai,3,x,i,4
愿,jyun6,yuan4,j,ün,6,y,üän,4
千,cin1,qian1,c,in,1,q,iän,1
值,zik6,zhi2,z,ik,6,zh,i,2
仍,jing4,reng2,j,ing,4,r,eng,2
男,naam4,nan2,n,aam,4,n,an,2
钱,cin4,qian2,c,in,4,q,iän,2
破,po3,po4,p,o,3,p,o,4
网,mong5,wang3,m,ong,5,w,ang,3
热,jit6,re4,j,it,6,r,e,4
助,zo6,zhu4,z,o,6,zh,u,4
倒,dou3,dao3,d,ou,3,d,ao,3
育,juk6,yu4,j,uk,6,y,ü,4
属,suk6,shu3,s,uk,6,sh,u,3
坐,zo6,zuo4,z,o,6,z,uo,4
帝,dai3,di4,d,ai,3,d,i,4
限,haan6,xian4,h,aan,6,x,iän,4
船,syun4,chuan2,s,ün,4,ch,uan,2
脸,lim5,lian3,l,im,5,l,ian,3
职,zik1,zhi2,z,ik,1,zh,i,2
速,cuk1,su4,c,uk,1,s,u,4
刻,hak1,ke4,h,ak,1,k,e,4
乐,lok6,le4,l,ok,6,l,e,4
否,pei2,fou3,p,ei,2,f,ou,3
刚,gong1,gang1,g,ong,1,g,ang,1
威,wai1,wei1,w,ai,1,w,ei,1
毛,mou4,mao2,m,ou,4,m,ao,2
状,zong6,zhuang4,z,ong,6,zh,uang,4
率,seot1,lv4,s,eot,1,l,ü,4
甚,sam6,shen2,s,am,6,sh,en,2
独,duk6,du2,d,uk,6,d,u,2
球,kau4,qiu2,k,au,4,q,iu,2
般,bun1,ban1,b,un,1,b,an,1
普,pou2,pu3,p,ou,2,p,u,3
怕,paa3,pa4,p,aa,3,p,a,4
弹,taan4,dan4,t,aan,4,d,an,4
校,gaau3,xiao4,g,aau,3,x,iao,4
苦,fu2,ku3,f,u,2,k,u,3
创,cong1,chuang4,c,ong,1,ch,uang,4
假,gaa3,jia3,g,aa,3,j,ia,3
久,gau2,jiu3,g,au,2,j,iu,3
错,cok3,cuo4,c,ok,3,c,uo,4
承,sing4,cheng2,s,ing,4,ch,eng,2
印,jan3,yin4,j,an,3,y,in,4
晚,maan5,wan3,m,aan,5,w,an,3
兰,laan4,lan2,l,aan,4,l,an,2
试,si3,shi4,s,i,3,sh,i,4
股,gu2,gu3,g,u,2,g,u,3
拿,naa4,na2,n,aa,4,n,a,2
脑,nou5,nao3,n,ou,5,n,ao,3
预,jyu6,yu4,j,ü,6,y,ü,4
谁,seoi4,shui2,s,eoi,4,sh,ui,2
益,jik1,yi4,j,ik,1,y,i,4
阳,joeng4,yang2,j,oeng,4,y,ang,2
若,joek6,ruo4,j,oek,6,r,uo,4
